what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1328403623234
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1328403623546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403624453
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1328403624484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1328403624484
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328403634578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328403641437
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328403644562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403648078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403648093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403651140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403660703
started,bundle,com.aptana.deploy.heroku,3.0.3.1321500599,"com.aptana.deploy.heroku",1328403662781
started,bundle,com.aptana.deploy.capistrano,3.0.3.1321500599,"com.aptana.deploy.capistrano",1328403662781
started,bundle,com.aptana.deploy.engineyard,3.0.3.1321500599,"com.aptana.deploy.engineyard",1328403662781
started,bundle,com.aptana.deploy.ftp,3.0.3.1321500599,"com.aptana.deploy.ftp",1328403662781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403669468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403674265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1328403674296
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328403676531
started,bundle,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal",1328403677453
started,bundle,com.aptana.org.eclipse.tm.terminal,3.1.0.1312318673,"com.aptana.org.eclipse.tm.terminal",1328403677484
opened,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328403678140
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328403678234
started,bundle,com.aptana.workbench,3.0.0.1312932604,"com.aptana.workbench",1328403681796
started,bundle,org.radrails.rails.ui,3.0.2.1320689232,"org.radrails.rails.ui",1328403681796
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328403701687
started,bundle,com.aptana.ruby.rake,3.0.0.1318602500,"com.aptana.ruby.rake",1328403702671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403704984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1328403712578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1328403712734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1328403712906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403715031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1328403715062
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328403715406
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328403941484
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328403944921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328403952781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328404036406
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328404154531
opened,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328404157531
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328404157687
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1328404158265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328404194812
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1328404206296
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328404211578
started,bundle,com.aptana.ruby.debug.core,3.0.2.1318602500,"com.aptana.ruby.debug.core",1328404211656
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328404216218
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328404220921
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328404242859
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328404247125
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1328404261937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328404264843
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1328404272265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328404275171
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328404282781
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1328404296125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328404299828
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328404307765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328404339234
executed,command,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui.RubyShortcut.run",1328404346109
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328404348312
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328404354671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328404361937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328411372250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328411373265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328411374500
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328411375062
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1328411376656
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1328411376671
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1328411376671
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1328411376718
stopped,bundle,org.springframework.ide.eclipse.beans.ui.graph,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.graph",1328411376781
stopped,bundle,org.springframework.ide.eclipse.beans.ui.search,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui.search",1328411376828
stopped,bundle,org.springframework.ide.eclipse.beans.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui",1328411376828
stopped,bundle,org.springframework.ide.eclipse.beans.core.metadata,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.core.metadata",1328411376890
stopped,bundle,org.springframework.ide.eclipse.beans.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.core",1328411376890
stopped,bundle,org.springframework.ide.eclipse.uaa,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.uaa",1328411376890
stopped,bundle,org.springframework.ide.eclipse.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.ui",1328411376890
stopped,bundle,org.springframework.ide.eclipse.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.core",1328411376890
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1328411376984
stopped,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1328411377046
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1328411377250
stopped,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1328411377328
stopped,bundle,org.maven.ide.eclipse.editor.xml,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.xml",1328411377421
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1328411377546
stopped,bundle,org.maven.ide.eclipse.jdt,0.12.1.20110112-1712,"org.maven.ide.eclipse.jdt",1328411377703
stopped,bundle,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.launching",1328411377750
stopped,bundle,org.maven.ide.eclipse.refactoring,0.12.1.20110112-1712,"org.maven.ide.eclipse.refactoring",1328411377765
stopped,bundle,org.maven.ide.eclipse,0.12.1.20110112-1712,"org.maven.ide.eclipse",1328411378015
stopped,bundle,org.maven.ide.eclipse.maven_model_edit,0.12.1.20110112-1712,"org.maven.ide.eclipse.maven_model_edit",1328411378125
stopped,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1328411378171
stopped,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1328411378406
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1328411378406
