what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1328412662187
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1328412662187
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1328412662203
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1328412662203
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1328412662203
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1328412662281
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1328412662281
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1328412662296
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1328412662296
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1328412662296
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1328412662296
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1328412662296
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1328412662296
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1328412662296
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1328412662312
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1328412662312
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1328412662359
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1328412662359
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328412662359
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1328412662437
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328412662437
started,bundle,org.springframework.ide.eclipse.uaa,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.uaa",1328412662437
started,bundle,beaver,3.0.0.1309394487,"beaver",1328412662437
started,bundle,com.aptana.core,3.0.4.1323890190,"com.aptana.core",1328412662437
started,bundle,com.aptana.core.epl,3.0.0.1317316579,"com.aptana.core.epl",1328412662453
started,bundle,com.aptana.core.io,3.0.3.1321920947,"com.aptana.core.io",1328412662453
started,bundle,com.aptana.deploy,3.0.3.1317162654,"com.aptana.deploy",1328412662453
started,bundle,com.aptana.editor.common,3.0.3.1323901670,"com.aptana.editor.common",1328412662484
started,bundle,com.aptana.editor.epl,3.0.0.1325099706,"com.aptana.editor.epl",1328412662500
started,bundle,com.aptana.editor.findbar,3.0.0.1316623122,"com.aptana.editor.findbar",1328412662500
started,bundle,com.aptana.editor.php.epl,3.0.0.1322528867,"com.aptana.editor.php.epl",1328412662625
started,bundle,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412662625
started,bundle,com.aptana.explorer,3.0.0.1316716614,"com.aptana.explorer",1328412662625
started,bundle,com.aptana.filewatcher,3.0.1.1317316381,"com.aptana.filewatcher",1328412662625
started,bundle,com.aptana.formatter.epl,3.0.0.1314743046,"com.aptana.formatter.epl",1328412662625
started,bundle,com.aptana.git.core,3.0.0.1321991271,"com.aptana.git.core",1328412662671
started,bundle,com.aptana.git.ui,3.0.3.1321981043,"com.aptana.git.ui",1328412662687
started,bundle,com.aptana.index.core,3.0.0.1319825135,"com.aptana.index.core",1328412662703
started,bundle,com.aptana.org.eclipse.tm.terminal,3.1.0.1312318673,"com.aptana.org.eclipse.tm.terminal",1328412662703
started,bundle,com.aptana.parsing,3.0.0.1319578629,"com.aptana.parsing",1328412662859
started,bundle,com.aptana.portal.ui,3.0.0.1322703189,"com.aptana.portal.ui",1328412662859
started,bundle,com.aptana.preview,3.0.0.1315523439,"com.aptana.preview",1328412662859
started,bundle,com.aptana.ruby.core,3.0.2.1319731509,"com.aptana.ruby.core",1328412663484
started,bundle,com.aptana.ruby.debug.ui,3.0.2.1322066031,"com.aptana.ruby.debug.ui",1328412663484
started,bundle,com.aptana.ruby.launching,3.0.2.1318602500,"com.aptana.ruby.launching",1328412663484
started,bundle,com.aptana.scripting,3.0.0.1324602406,"com.aptana.scripting",1328412663484
started,bundle,com.aptana.scripting.ui,3.0.0.1322862427,"com.aptana.scripting.ui",1328412663484
started,bundle,com.aptana.syncing.core,3.0.0.1321920947,"com.aptana.syncing.core",1328412663515
started,bundle,com.aptana.syncing.ui,3.0.3.1320185576,"com.aptana.syncing.ui",1328412663515
started,bundle,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal",1328412663546
started,bundle,com.aptana.theme,3.0.0.1320258654,"com.aptana.theme",1328412663562
started,bundle,com.aptana.ui,3.0.3.1323462907,"com.aptana.ui",1328412663593
started,bundle,com.aptana.ui.epl,3.0.0.1322514554,"com.aptana.ui.epl",1328412663625
started,bundle,com.aptana.ui.io,3.0.0.1323820142,"com.aptana.ui.io",1328412663703
started,bundle,com.aptana.usage,3.0.0.1325099706,"com.aptana.usage",1328412663703
started,bundle,com.python.pydev.analysis,2.2.4.2011121401,"com.python.pydev.analysis",1328412663750
started,bundle,org.python.pydev,2.2.4.2011121401,"org.python.pydev",1328412663890
started,bundle,org.python.pydev.core,2.2.4.2011121401,"org.python.pydev.core",1328412663937
started,bundle,org.python.pydev.red_core,2.2.4.2011121401,"org.python.pydev.red_core",1328412663968
os,sysinfo,,,"win32",1328412663984
arch,sysinfo,,,"x86",1328412663984
ws,sysinfo,,,"win32",1328412663984
locale,sysinfo,,,"zh_CN",1328412663984
processors,sysinfo,,,"1",1328412663984
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328412663984
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1328412663984
java.specification.name,sysinfo,,,"Java Platform API Specification",1328412663984
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328412663984
java.specification.version,sysinfo,,,"1.6",1328412663984
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328412663984
java.version,sysinfo,,,"1.6.0_21",1328412663984
java.vm.info,sysinfo,,,"mixed mode, sharing",1328412663984
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328412663984
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328412663984
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328412663984
java.vm.specification.version,sysinfo,,,"1.0",1328412663984
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328412663984
java.vm.version,sysinfo,,,"17.0-b17",1328412663984
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1328412664531
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1328412664531
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1328412664968
started,bundle,com.aptana.console,3.0.0.1321573158,"com.aptana.console",1328412666125
started,bundle,org.python.pydev.debug,2.2.4.2011121401,"org.python.pydev.debug",1328412666171
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511-p001,"org.eclipse.wst.server.core",1328412666562
started,bundle,org.springframework.ide.eclipse.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.core",1328412667187
opened,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328412669703
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328412669750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1328412669750
started,bundle,com.aptana.index.core.ui,3.0.0.1315934874,"com.aptana.index.core.ui",1328412671687
error,log,,,"(eval):1: warning: variable $= is no longer effective\r\n(eval):1: warning: variable $KCODE is no longer effective\r\n(eval):1: warning: variable $KCODE is no longer effective\r\nD:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:180:in `eval': Permission denied - D:\\GengFo\\GitRoot\\ExtJS\\RubyDojo\\.metadata\\.plugins\\com.aptana.ruby.core\\-25524616\\4 (Errno::EACCES)\r\n\tfrom D:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:180:in `eval'\r\n\tfrom D:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:180:in `block (3 levels) in <main>'\r\n\tfrom D:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:179:in `each'\r\n\tfrom D:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:179:in `block (2 levels) in <main>'\r\n\tfrom D:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:178:in `open'\r\n\tfrom D:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:178:in `block in <main>'\r\n\tfrom D:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:152:in `each'\r\n\tfrom D:/GengFo/DevTools/old/eclipse-java-helios-SR2-win32/configuration/org.eclipse.osgi/bundles/447/1/.cp/ruby/core_stubber.rb:152:in `<main>'\n",1328412676515
started,bundle,com.aptana.buildpath.core,3.0.0.1312932604,"com.aptana.buildpath.core",1328412676546
started,bundle,com.aptana.workbench,3.0.0.1312932604,"com.aptana.workbench",1328412678484
started,bundle,org.radrails.rails.ui,3.0.2.1320689232,"org.radrails.rails.ui",1328412678546
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412723406
started,bundle,org.springframework.ide.eclipse.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.ui",1328412723703
started,bundle,org.springframework.ide.eclipse.beans.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui",1328412723718
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1328412723734
started,bundle,org.springframework.ide.eclipse.beans.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.core",1328412723750
started,bundle,com.aptana.debug.core,3.0.3.1321680133,"com.aptana.debug.core",1328412723796
started,bundle,com.aptana.js.debug.core,3.0.3.1323811743,"com.aptana.js.debug.core",1328412723812
started,bundle,com.aptana.js.debug.ui,3.0.0.1313451701,"com.aptana.js.debug.ui",1328412723859
opened,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412729046
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412729140
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412740125
opened,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412741453
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412741531
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412745578
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412745796
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412747750
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328412749984
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328412750078
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1328412753062
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328412763859
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412764765
opened,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412765062
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412765187
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412768859
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412769093
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412775375
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412775625
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412778718
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412778921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328412789609
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412798453
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412798484
closed,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412798500
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328412798515
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412800562
opened,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412800796
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412800875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328412831390
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412836921
opened,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412837250
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412837328
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412862640
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412863703
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412864625
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1328412875406
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328412877718
started,bundle,com.aptana.deploy.heroku,3.0.3.1321500599,"com.aptana.deploy.heroku",1328412878625
started,bundle,com.aptana.deploy.capistrano,3.0.3.1321500599,"com.aptana.deploy.capistrano",1328412878625
started,bundle,com.aptana.deploy.engineyard,3.0.3.1321500599,"com.aptana.deploy.engineyard",1328412878640
started,bundle,com.aptana.deploy.ftp,3.0.3.1321500599,"com.aptana.deploy.ftp",1328412878640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328412881500
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328412891562
